"rules","support","confidence","lift","count"
"{} => {mineral water}",0.238368217570991,0.238368217570991,1,1788
"{body spray} => {french fries}",0.00426609785361952,0.372093023255814,2.17712150346479,32
"{body spray} => {mineral water}",0.00413278229569391,0.36046511627907,1.51221970761147,31
"{cider} => {eggs}",0.00426609785361952,0.40506329113924,2.25399091011531,32
"{nonfat milk} => {mineral water}",0.00506599120117318,0.487179487179487,2.0438105891126,38
"{pasta} => {escalope}",0.00586588454872684,0.372881355932203,4.7008118501638,44
"{pasta} => {shrimp}",0.00506599120117318,0.322033898305085,4.5066721477359,38
"{extra dark chocolate} => {spaghetti}",0.00413278229569391,0.344444444444444,1.97831376552663,31
"{extra dark chocolate} => {mineral water}",0.00573256899080123,0.477777777777778,2.00436863037534,43
"{gums} => {mineral water}",0.00493267564324757,0.366336633663366,1.53685183954637,37
"{white wine} => {spaghetti}",0.00453272896947074,0.274193548387097,1.57482833572099,34
"{white wine} => {mineral water}",0.00439941341154513,0.266129032258065,1.1164618965144,33
"{fromage blanc} => {mineral water}",0.00453272896947074,0.333333333333333,1.39839671886652,34
"{mint} => {mineral water}",0.00586588454872684,0.33587786259542,1.40907150298,44
"{black tea} => {milk}",0.00426609785361952,0.299065420560748,2.3079112341833,32
"{black tea} => {eggs}",0.00493267564324757,0.345794392523364,1.92418674949389,37
"{black tea} => {spaghetti}",0.00453272896947074,0.317757009345794,1.82503470681685,34
"{black tea} => {mineral water}",0.0053326223170244,0.373831775700935,1.56829538564469,40
"{mushroom cream sauce} => {escalope}",0.00573256899080123,0.300699300699301,3.79083269671505,43
"{mushroom cream sauce} => {french fries}",0.00466604452739635,0.244755244755245,1.43206637356403,35
"{mushroom cream sauce} => {chocolate}",0.00439941341154513,0.230769230769231,1.40846216436127,33
"{mushroom cream sauce} => {spaghetti}",0.00426609785361952,0.223776223776224,1.28525685646666,32
"{tomato sauce} => {ground beef}",0.0053326223170244,0.377358490566038,3.84065948132408,40
"{tomato sauce} => {chocolate}",0.00506599120117318,0.358490566037736,2.18798839369329,38
"{tomato sauce} => {spaghetti}",0.00626583122250367,0.443396226415094,2.54664249183738,47
"{tomato sauce} => {mineral water}",0.00573256899080123,0.405660377358491,1.7018224220168,43
"{strawberries} => {french fries}",0.00573256899080123,0.26875,1.57246002340094,43
"{strawberries} => {mineral water}",0.00506599120117318,0.2375,0.996357662192394,38
"{carrots} => {spaghetti}",0.00466604452739635,0.304347826086957,1.74801917571077,35
"{carrots} => {mineral water}",0.0053326223170244,0.347826086956522,1.45919657620854,40
"{muffins} => {french fries}",0.0053326223170244,0.220994475138122,1.2930417769197,40
"{light cream} => {chicken}",0.00453272896947074,0.290598290598291,4.84395061728395,34
"{light cream} => {spaghetti}",0.0053326223170244,0.341880341880342,1.96358686404628,40
"{light cream} => {mineral water}",0.00733235568590855,0.47008547008547,1.97209793686304,55
"{protein bar} => {spaghetti}",0.00506599120117318,0.273381294964029,1.57016316502694,38
"{protein bar} => {mineral water}",0.00773230235968538,0.41726618705036,1.7505110005955,58
"{meatballs} => {milk}",0.00546593787495001,0.261146496815287,2.01528793478546,41
"{meatballs} => {eggs}",0.00439941341154513,0.210191082802548,1.16961670037234,33
"{meatballs} => {spaghetti}",0.00639914678042928,0.305732484076433,1.75597194721082,48
"{meatballs} => {mineral water}",0.00773230235968538,0.369426751592357,1.5498154718648,58
"{yogurt cake} => {mineral water}",0.00559925343287562,0.204878048780488,0.859502373547225,42
"{energy bar} => {milk}",0.00546593787495001,0.201970443349754,1.55862170325772,41
"{energy bar} => {mineral water}",0.00679909345420611,0.251231527093596,1.05396402949053,51
"{energy drink} => {french fries}",0.00613251566457806,0.23,1.34573322932917,46
"{energy drink} => {mineral water}",0.00559925343287562,0.21,0.880989932885906,42
"{rice} => {ground beef}",0.00439941341154513,0.234042553191489,2.3820260400127,33
"{rice} => {french fries}",0.00479936008532196,0.25531914893617,1.49387592524978,36
"{rice} => {chocolate}",0.0053326223170244,0.283687943262411,1.73144284980582,40
"{rice} => {spaghetti}",0.00506599120117318,0.269503546099291,1.54789134708329,38
"{rice} => {mineral water}",0.00773230235968538,0.411347517730496,1.72568105732464,58
"{parmesan cheese} => {frozen vegetables}",0.00546593787495001,0.275167785234899,2.88676021964613,41
"{parmesan cheese} => {chocolate}",0.00426609785361952,0.214765100671141,1.31078358025568,32
"{parmesan cheese} => {eggs}",0.00453272896947074,0.228187919463087,1.26976081891144,34
"{parmesan cheese} => {spaghetti}",0.00679909345420611,0.342281879194631,1.96589309022889,51
"{parmesan cheese} => {mineral water}",0.00466604452739635,0.23489932885906,0.985447352221371,35
"{almonds} => {burgers}",0.00519930675909879,0.254901960784314,2.92357738202315,39
"{almonds} => {green tea}",0.00506599120117318,0.248366013071895,1.87991267815569,38
"{almonds} => {milk}",0.00519930675909879,0.254901960784314,1.96709836197854,39
"{almonds} => {french fries}",0.00439941341154513,0.215686274509804,1.26198342051329,33
"{almonds} => {chocolate}",0.00599920010665245,0.294117647058824,1.79509883693103,45
"{almonds} => {eggs}",0.00653246233835489,0.320261437908497,1.78210760070596,49
"{almonds} => {spaghetti}",0.00599920010665245,0.294117647058824,1.68926222862805,45
